diagnosis,recommended_drugs
patient presents with nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
chronic nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Severe Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Seasonal affective disorder - cognitive decline,"Bupropion, Fluoxetine, Sertraline"
"Mild Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
suspected nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Schizotypal personality disorder - cognitive decline,"Risperidone, Olanzapine, Haloperidol"
Confirmed Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
"schizoaffective disorder, poor sleep quality","Paliperidone, Clozapine, Haloperidol"
Brief psychotic,"Haloperidol, Risperidone, Olanzapine"
"severe major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
"adjustment disorder with depressed mood, patient stable","Escitalopram, Sertraline, Bupropion"
"bipolar ii disorder, outpatient follow-up","Lamotrigine, Lithium, Quetiapine"
"obsessive-compulsive disorder, agitated behavior","Fluvoxamine, Clomipramine, Fluoxetine"
Alcohol withdrawal syndrome - cognitive decline,"Chlordiazepoxide, Diazepam, Lorazepam"
"social anxiety disorder, compliant with meds","Sertraline, Propranolol, Venlafaxine"
"attention-deficit hyperactivity disorder (adhd), agitated behavior","Methylphenidate, Amphetamine, Atomoxetine"
"panic disorder, first psychotic episode","Alprazolam, Clonazepam, Paroxetine"
Severe Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
DSM-5 Diagnosis: Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
mild autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
Acute stress,"Clonazepam, Propranolol, Hydroxyzine"
confirmed agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Post-traumatic stress disorder (PTSD) - worsening symptoms,"Sertraline, Paroxetine, Prazosin"
History of Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Delusional disorder,"Aripiprazole, Risperidone, Pimozide"
history of social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Bipolar I,"Lurasidone, Quetiapine, Lamotrigine"
"brief psychotic disorder, outpatient follow-up","Haloperidol, Risperidone, Olanzapine"
patient presents with bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
chronic binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"Chronic Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Attention-deficit hyperactivity disorder (ADHD) - experiencing hallucinations,"Methylphenidate, Amphetamine, Atomoxetine"
acute exacerbation of schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
Confirmed Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
high risk of persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
chronic schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Bulimia nervosa - high anxiety levels,"Fluoxetine, Topiramate, Sertraline"
Mild Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Alcohol withdrawal syndrome - resistant to therapy,"Chlordiazepoxide, Diazepam, Lorazepam"
"major depressive disorder, single episode, poor sleep quality","Sertraline, Fluoxetine, Escitalopram"
"major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Persistent depressive disorder (Dysthymia) - high anxiety levels,"Citalopram, Sertraline, Mirtazapine"
Primary insomnia - suicidal ideation present,"Zolpidem, Eszopiclone, Trazodone"
Body dysmorphic disorder - experiencing hallucinations,"Sertraline, Fluoxetine, Escitalopram"
"panic disorder, compliant with meds","Alprazolam, Clonazepam, Paroxetine"
schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
"acute exacerbation of major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"opioid withdrawal, worsening symptoms","Buprenorphine, Methadone, Clonidine"
"social anxiety disorder, agitated behavior","Sertraline, Propranolol, Venlafaxine"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Patient presents with Alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Schizoaffective disorder - first psychotic episode,"Paliperidone, Clozapine, Haloperidol"
Post-traumatic stress disorder (PTSD) - high anxiety levels,"Sertraline, Paroxetine, Prazosin"
"nervousness or severe stress, high anxiety levels","Hydroxyzine, Buspirone, Propranolol"
Delusional disorder - suicidal ideation present,"Aripiprazole, Risperidone, Pimozide"
schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
acute exacerbation of nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"restless legs syndrome, high anxiety levels","Pramipexole, Ropinirole, Gabapentin"
Patient presents with Binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Major depressive,"Venlafaxine, Duloxetine, Bupropion"
"Bipolar I disorder, depressed episode - first psychotic episode","Lurasidone, Quetiapine, Lamotrigine"
Alcohol dependence - agitated behavior,"Naltrexone, Acamprosate, Disulfiram"
Acute exacerbation of Acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
history of binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
high risk of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Attention-deficit hyperactivity,"Methylphenidate, Amphetamine, Atomoxetine"
Chronic Bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
History of Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
suspected attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Post-traumatic stress,"Sertraline, Paroxetine, Prazosin"
"primary insomnia, experiencing hallucinations","Zolpidem, Eszopiclone, Trazodone"
bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
"hoarding disorder, outpatient follow-up","Venlafaxine, Paroxetine, Sertraline"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"major depressive disorder, recurrent, resistant to therapy","Venlafaxine, Duloxetine, Bupropion"
assessment: seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
generalized anxiety,"Sertraline, Buspirone, Venlafaxine"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Suspected Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
History of Schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
History of Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Assessment: Alcohol withdrawal syndrome,"Chlordiazepoxide, Diazepam, Lorazepam"
"hoarding disorder, first psychotic episode","Venlafaxine, Paroxetine, Sertraline"
Opioid dependence - experiencing hallucinations,"Buprenorphine, Naltrexone, Methadone"
tourette's disorder,"Haloperidol, Pimozide, Clonidine"
suspected schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"adjustment disorder with depressed mood, outpatient follow-up","Escitalopram, Sertraline, Bupropion"
Body dysmorphic disorder - outpatient follow-up,"Sertraline, Fluoxetine, Escitalopram"
Tourette's disorder - resistant to therapy,"Haloperidol, Pimozide, Clonidine"
Acute exacerbation of Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Primary insomnia - agitated behavior,"Zolpidem, Eszopiclone, Trazodone"
"Major depressive disorder, recurrent - resistant to therapy","Venlafaxine, Duloxetine, Bupropion"
opioid dependence,"Buprenorphine, Naltrexone, Methadone"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
chronic schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Opioid withdrawal - suicidal ideation present,"Buprenorphine, Methadone, Clonidine"
Assessment: Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"High risk of Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
suspected brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Agoraphobia - poor sleep quality,"Paroxetine, Sertraline, Fluoxetine"
Post-traumatic stress disorder (PTSD) - suicidal ideation present,"Sertraline, Paroxetine, Prazosin"
Chronic Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
"binge-eating disorder, high anxiety levels","Lisdexamfetamine, Topiramate, Fluoxetine"
History of Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
Autism spectrum disorder (irritability) - resistant to therapy,"Risperidone, Aripiprazole, Guanfacine"
Assessment: Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
mild bulimia nervosa,"Fluoxetine, Topiramate, Sertraline"
Bipolar II disorder - resistant to therapy,"Lamotrigine, Lithium, Quetiapine"
"major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
assessment: adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Cyclothymic disorder - high anxiety levels,"Valproate, Lithium, Lamotrigine"
"cyclothymic disorder, high anxiety levels","Valproate, Lithium, Lamotrigine"
suspected schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Binge-eating disorder - suicidal ideation present,"Lisdexamfetamine, Topiramate, Fluoxetine"
acute exacerbation of agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"primary insomnia, worsening symptoms","Zolpidem, Eszopiclone, Trazodone"
Schizotypal personality,"Risperidone, Olanzapine, Haloperidol"
alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Bipolar II disorder - first psychotic episode,"Lamotrigine, Lithium, Quetiapine"
high risk of hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
assessment: narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
Severe Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
dsm-5 diagnosis: brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
"nicotine dependence, resistant to therapy","Varenicline, Bupropion, Nicotine patch"
Agoraphobia - resistant to therapy,"Paroxetine, Sertraline, Fluoxetine"
Severe Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
severe panic disorder,"Alprazolam, Clonazepam, Paroxetine"
confirmed persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
"schizophrenia, unspecified, needs dosage adjustment","Risperidone, Olanzapine, Aripiprazole"
High risk of Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Borderline personality disorder - suicidal ideation present,"Lamotrigine, Aripiprazole, Fluoxetine"
acute exacerbation of delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Severe Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"major depressive disorder, single episode, poor sleep quality","Sertraline, Fluoxetine, Escitalopram"
body dysmorphic,"Sertraline, Fluoxetine, Escitalopram"
"agoraphobia, cognitive decline","Paroxetine, Sertraline, Fluoxetine"
dsm-5 diagnosis: generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"Chronic Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Brief psychotic disorder - requires hospitalization,"Haloperidol, Risperidone, Olanzapine"
"delusional disorder, high anxiety levels","Aripiprazole, Risperidone, Pimozide"
confirmed alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
"agoraphobia, compliant with meds","Paroxetine, Sertraline, Fluoxetine"
Anorexia nervosa - agitated behavior,"Olanzapine, Fluoxetine, Mirtazapine"
"narcolepsy, worsening symptoms","Modafinil, Armodafinil, Sodium oxybate"
Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"primary insomnia, resistant to therapy","Zolpidem, Eszopiclone, Trazodone"
nervousness or,"Hydroxyzine, Buspirone, Propranolol"
chronic adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Primary insomnia - compliant with meds,"Zolpidem, Eszopiclone, Trazodone"
"schizoaffective disorder, poor sleep quality","Paliperidone, Clozapine, Haloperidol"
"cyclothymic disorder, compliant with meds","Valproate, Lithium, Lamotrigine"
bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"restless legs syndrome, resistant to therapy","Pramipexole, Ropinirole, Gabapentin"
dsm-5 diagnosis: borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
confirmed delusional disorder,"Aripiprazole, Risperidone, Pimozide"
high risk of hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"dsm-5 diagnosis: schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
Acute stress disorder - first psychotic episode,"Clonazepam, Propranolol, Hydroxyzine"
History of Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
Restless legs syndrome - poor sleep quality,"Pramipexole, Ropinirole, Gabapentin"
Delusional disorder - compliant with meds,"Aripiprazole, Risperidone, Pimozide"
Attention-deficit hyperactivity disorder (ADHD) - suicidal ideation present,"Methylphenidate, Amphetamine, Atomoxetine"
assessment: acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
chronic binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
"cyclothymic disorder, outpatient follow-up","Valproate, Lithium, Lamotrigine"
Post-traumatic stress disorder (PTSD) - experiencing hallucinations,"Sertraline, Paroxetine, Prazosin"
Chronic Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
suspected schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Confirmed Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Confirmed Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
mild obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
dsm-5 diagnosis: body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"bipolar ii disorder, resistant to therapy","Lamotrigine, Lithium, Quetiapine"
Generalized anxiety disorder - agitated behavior,"Sertraline, Buspirone, Venlafaxine"
"adjustment disorder with depressed mood, suicidal ideation present","Escitalopram, Sertraline, Bupropion"
"bulimia nervosa, first psychotic episode","Fluoxetine, Topiramate, Sertraline"
confirmed opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"bipolar i disorder, depressed episode, high anxiety levels","Lurasidone, Quetiapine, Lamotrigine"
Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
Borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
Nervousness or severe stress - poor sleep quality,"Hydroxyzine, Buspirone, Propranolol"
Severe Hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Suspected Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
"confirmed schizophrenia, unspecified","Risperidone, Olanzapine, Aripiprazole"
alcohol withdrawal,"Chlordiazepoxide, Diazepam, Lorazepam"
assessment: attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
patient presents with nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"major depressive disorder, single episode, high anxiety levels","Sertraline, Fluoxetine, Escitalopram"
dsm-5 diagnosis: body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
anorexia nervosa,"Olanzapine, Fluoxetine, Mirtazapine"
schizotypal personality disorder,"Risperidone, Olanzapine, Haloperidol"
Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
"Major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"seasonal affective disorder, worsening symptoms","Bupropion, Fluoxetine, Sertraline"
delusional disorder,"Aripiprazole, Risperidone, Pimozide"
Obsessive-compulsive disorder - experiencing hallucinations,"Fluvoxamine, Clomipramine, Fluoxetine"
mild generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
Generalized anxiety,"Sertraline, Buspirone, Venlafaxine"
"bipolar i disorder, manic episode, poor sleep quality","Lithium, Valproate, Quetiapine"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
"assessment: bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
acute exacerbation of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Mild Nicotine dependence,"Varenicline, Bupropion, Nicotine patch"
"Bipolar I disorder, depressed episode - resistant to therapy","Lurasidone, Quetiapine, Lamotrigine"
Social anxiety disorder - first psychotic episode,"Sertraline, Propranolol, Venlafaxine"
Generalized anxiety disorder,"Sertraline, Buspirone, Venlafaxine"
acute exacerbation of primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Acute exacerbation of Post-traumatic stress disorder (PTSD),"Sertraline, Paroxetine, Prazosin"
high risk of cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Acute stress disorder - cognitive decline,"Clonazepam, Propranolol, Hydroxyzine"
Confirmed Schizoaffective disorder,"Paliperidone, Clozapine, Haloperidol"
assessment: panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"adjustment disorder with depressed mood, resistant to therapy","Escitalopram, Sertraline, Bupropion"
Severe Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Post-traumatic stress disorder (PTSD) - worsening symptoms,"Sertraline, Paroxetine, Prazosin"
"primary insomnia, compliant with meds","Zolpidem, Eszopiclone, Trazodone"
DSM-5 Diagnosis: Opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Alcohol dependence - outpatient follow-up,"Naltrexone, Acamprosate, Disulfiram"
assessment: adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
chronic adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Mild Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
high risk of binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
acute exacerbation of brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
DSM-5 Diagnosis: Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
confirmed agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"acute stress disorder, needs dosage adjustment","Clonazepam, Propranolol, Hydroxyzine"
Suspected Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Alcohol dependence - agitated behavior,"Naltrexone, Acamprosate, Disulfiram"
Major depressive,"Sertraline, Fluoxetine, Escitalopram"
Chronic Adjustment disorder with depressed mood,"Escitalopram, Sertraline, Bupropion"
Autism spectrum disorder (irritability) - mood swings reported,"Risperidone, Aripiprazole, Guanfacine"
Restless legs syndrome - patient stable,"Pramipexole, Ropinirole, Gabapentin"
Bipolar II disorder - worsening symptoms,"Lamotrigine, Lithium, Quetiapine"
patient presents with primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"narcolepsy, worsening symptoms","Modafinil, Armodafinil, Sodium oxybate"
restless legs,"Pramipexole, Ropinirole, Gabapentin"
Brief psychotic disorder - high anxiety levels,"Haloperidol, Risperidone, Olanzapine"
persistent depressive disorder (dysthymia),"Citalopram, Sertraline, Mirtazapine"
binge-eating disorder,"Lisdexamfetamine, Topiramate, Fluoxetine"
Generalized anxiety disorder - suicidal ideation present,"Sertraline, Buspirone, Venlafaxine"
"Schizophrenia, unspecified - experiencing hallucinations","Risperidone, Olanzapine, Aripiprazole"
Post-traumatic stress disorder (PTSD) - high anxiety levels,"Sertraline, Paroxetine, Prazosin"
chronic obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
"bipolar i disorder, manic episode, cognitive decline","Lithium, Valproate, Quetiapine"
"post-traumatic stress disorder (ptsd), outpatient follow-up","Sertraline, Paroxetine, Prazosin"
Social anxiety disorder - resistant to therapy,"Sertraline, Propranolol, Venlafaxine"
history of nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"major depressive disorder, recurrent, experiencing hallucinations","Venlafaxine, Duloxetine, Bupropion"
high risk of obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
opioid withdrawal,"Buprenorphine, Methadone, Clonidine"
"delusional disorder, first psychotic episode","Aripiprazole, Risperidone, Pimozide"
"opioid withdrawal, requires hospitalization","Buprenorphine, Methadone, Clonidine"
DSM-5 Diagnosis: Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
Autism spectrum disorder (irritability) - resistant to therapy,"Risperidone, Aripiprazole, Guanfacine"
"delusional disorder, patient stable","Aripiprazole, Risperidone, Pimozide"
High risk of Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
History of Obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
Chronic Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Opioid dependence,"Buprenorphine, Naltrexone, Methadone"
severe seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
Panic disorder - needs dosage adjustment,"Alprazolam, Clonazepam, Paroxetine"
Persistent depressive disorder (Dysthymia) - outpatient follow-up,"Citalopram, Sertraline, Mirtazapine"
Borderline personality disorder,"Lamotrigine, Aripiprazole, Fluoxetine"
Primary insomnia - patient stable,"Zolpidem, Eszopiclone, Trazodone"
Persistent depressive,"Citalopram, Sertraline, Mirtazapine"
"acute exacerbation of bipolar i disorder, manic episode","Lithium, Valproate, Quetiapine"
"cyclothymic disorder, poor sleep quality","Valproate, Lithium, Lamotrigine"
history of social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Adjustment disorder with depressed mood - compliant with meds,"Escitalopram, Sertraline, Bupropion"
Severe Social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
post-traumatic stress disorder (ptsd),"Sertraline, Paroxetine, Prazosin"
"tourette's disorder, compliant with meds","Haloperidol, Pimozide, Clonidine"
panic disorder,"Alprazolam, Clonazepam, Paroxetine"
acute exacerbation of brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
confirmed tourette's disorder,"Haloperidol, Pimozide, Clonidine"
High risk of Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
"bipolar i disorder, depressed episode, suicidal ideation present","Lurasidone, Quetiapine, Lamotrigine"
"acute stress disorder, high anxiety levels","Clonazepam, Propranolol, Hydroxyzine"
acute exacerbation of obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
assessment: panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"severe major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
"schizotypal personality disorder, first psychotic episode","Risperidone, Olanzapine, Haloperidol"
"generalized anxiety disorder, first psychotic episode","Sertraline, Buspirone, Venlafaxine"
Confirmed Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
"cyclothymic disorder, resistant to therapy","Valproate, Lithium, Lamotrigine"
Chronic Bipolar II disorder,"Lamotrigine, Lithium, Quetiapine"
Narcolepsy - outpatient follow-up,"Modafinil, Armodafinil, Sodium oxybate"
"obsessive-compulsive disorder, requires hospitalization","Fluvoxamine, Clomipramine, Fluoxetine"
Cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
Restless legs syndrome,"Pramipexole, Ropinirole, Gabapentin"
Suspected Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"panic disorder, cognitive decline","Alprazolam, Clonazepam, Paroxetine"
Confirmed Panic disorder,"Alprazolam, Clonazepam, Paroxetine"
"acute exacerbation of bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"primary insomnia, suicidal ideation present","Zolpidem, Eszopiclone, Trazodone"
Chronic Body dysmorphic disorder,"Sertraline, Fluoxetine, Escitalopram"
mild alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
hoarding disorder,"Venlafaxine, Paroxetine, Sertraline"
Patient presents with Nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
"acute exacerbation of bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
"bipolar i disorder, depressed episode, outpatient follow-up","Lurasidone, Quetiapine, Lamotrigine"
"Severe Bipolar I disorder, manic episode","Lithium, Valproate, Quetiapine"
Opioid dependence - outpatient follow-up,"Buprenorphine, Naltrexone, Methadone"
"Major depressive disorder, recurrent - outpatient follow-up","Venlafaxine, Duloxetine, Bupropion"
Confirmed Attention-deficit hyperactivity disorder (ADHD),"Methylphenidate, Amphetamine, Atomoxetine"
"body dysmorphic disorder, patient stable","Sertraline, Fluoxetine, Escitalopram"
bipolar ii,"Lamotrigine, Lithium, Quetiapine"
"generalized anxiety disorder, agitated behavior","Sertraline, Buspirone, Venlafaxine"
Assessment: Brief psychotic disorder,"Haloperidol, Risperidone, Olanzapine"
Schizotypal personality disorder - suicidal ideation present,"Risperidone, Olanzapine, Haloperidol"
"severe major depressive disorder, recurrent","Venlafaxine, Duloxetine, Bupropion"
Persistent depressive disorder (Dysthymia) - resistant to therapy,"Citalopram, Sertraline, Mirtazapine"
Suspected Agoraphobia,"Paroxetine, Sertraline, Fluoxetine"
"alcohol dependence, compliant with meds","Naltrexone, Acamprosate, Disulfiram"
DSM-5 Diagnosis: Tourette's disorder,"Haloperidol, Pimozide, Clonidine"
Nicotine dependence - high anxiety levels,"Varenicline, Bupropion, Nicotine patch"
"Severe Major depressive disorder, single episode","Sertraline, Fluoxetine, Escitalopram"
Bulimia nervosa - poor sleep quality,"Fluoxetine, Topiramate, Sertraline"
cyclothymic disorder,"Valproate, Lithium, Lamotrigine"
"Acute exacerbation of Bipolar I disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
acute exacerbation of attention-deficit hyperactivity disorder (adhd),"Methylphenidate, Amphetamine, Atomoxetine"
Assessment: Seasonal affective disorder,"Bupropion, Fluoxetine, Sertraline"
confirmed bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
"bipolar ii disorder, mood swings reported","Lamotrigine, Lithium, Quetiapine"
"obsessive-compulsive disorder, patient stable","Fluvoxamine, Clomipramine, Fluoxetine"
nervousness or severe stress,"Hydroxyzine, Buspirone, Propranolol"
history of social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
Confirmed Primary insomnia,"Zolpidem, Eszopiclone, Trazodone"
high risk of acute stress disorder,"Clonazepam, Propranolol, Hydroxyzine"
"acute exacerbation of bipolar i disorder, depressed episode","Lurasidone, Quetiapine, Lamotrigine"
history of alcohol dependence,"Naltrexone, Acamprosate, Disulfiram"
Delusional disorder - poor sleep quality,"Aripiprazole, Risperidone, Pimozide"
Persistent depressive disorder (Dysthymia) - first psychotic episode,"Citalopram, Sertraline, Mirtazapine"
Obsessive-compulsive disorder - first psychotic episode,"Fluvoxamine, Clomipramine, Fluoxetine"
"acute stress disorder, agitated behavior","Clonazepam, Propranolol, Hydroxyzine"
Borderline personality,"Lamotrigine, Aripiprazole, Fluoxetine"
social anxiety disorder,"Sertraline, Propranolol, Venlafaxine"
confirmed bipolar ii disorder,"Lamotrigine, Lithium, Quetiapine"
Confirmed Narcolepsy,"Modafinil, Armodafinil, Sodium oxybate"
mild obsessive-compulsive disorder,"Fluvoxamine, Clomipramine, Fluoxetine"
History of Autism spectrum disorder (irritability),"Risperidone, Aripiprazole, Guanfacine"
