diagnosis,severity
"Abdominal aortic aneurysm, ruptured - severe trauma protocol active",HIGH
"suspected hydrocephalus, unspecified",HIGH
"Traumatic shock - critical condition, ICU admission",HIGH
"Alzheimer disease, unspecified",HIGH
suspected contusion of finger,LOW
A09 Infectious gastroenteritis,MEDIUM
Routine exam due to Allergic rhinitis due to pollen,LOW
Diverticulosis of large intestine - follow-up required in 1 week,MEDIUM
K21.0 Gastro-esophageal reflux,MEDIUM
"Bacterial infection, unspecified (severe) - life-threatening, immediate intervention",HIGH
"Assessment: Hypothyroidism, unspecified",MEDIUM
"Primary insomnia - mild symptoms, no complications",LOW
G12.21 Amyotrophic lateral,HIGH
"G35: Multiple sclerosis (acute emergency, rapid response)",HIGH
"Uncomfortable episode, managing with meds due to Spondylosis with radiculopathy, cervical",MEDIUM
contusion of finger,LOW
"Dysuria - minor condition, follow-up in 2 weeks",LOW
"acute respiratory failure, unspecified",HIGH
"D64.9: Anemia, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Malignant neoplasm of brain, unspecified - immediate surgery required",HIGH
suspected multiple sclerosis,HIGH
S60.0 - Contusion of finger,LOW
essential (primary) hypertension,MEDIUM
"Moderate symptoms, requires monitoring due to Bipolar disorder, unspecified",MEDIUM
D65 Disseminated intravascular,HIGH
D65: Disseminated intravascular coagulation (immediate surgery required),HIGH
"Minor condition, follow-up in 2 weeks due to Chronic gingivitis",LOW
F41.1 - Generalized anxiety disorder,MEDIUM
Essential (primary) hypertension - follow-up required in 1 week,MEDIUM
"Acute respiratory distress syndrome - advanced stage, palliative care discussed",HIGH
"history of viral infection, unspecified",LOW
"Malignant neoplasm of pancreas, unspecified - immediate surgery required",HIGH
"I63.9: Cerebral infarction, unspecified (stroke) (life-threatening, immediate intervention)",HIGH
"Uncomfortable episode, managing with meds due to Crohn disease, unspecified",MEDIUM
"Spondylosis with radiculopathy, cervical - uncomfortable episode, managing with meds",MEDIUM
"E11.65: Type 2 diabetes with hyperglycemia (severe presentation, urgent care needed)",HIGH
"Viral wart, unspecified - self-limiting condition",LOW
"Sepsis, unspecified organism - critical condition, ICU admission",HIGH
obstructive sleep problem,MEDIUM
"Minor pain, prescribed rest due to Impacted cerumen, unspecified ear",LOW
"Moderate symptoms, requires monitoring due to Thrombocytopenia, unspecified",MEDIUM
"Confirmed case of Bacterial infection, unspecified (severe)",HIGH
Suspected Chronic gingivitis,LOW
"Bacterial infection, unspecified (severe) - fatal prognosis risk",HIGH
Stable but requires medication adjustment due to Essential (primary) hypertension,MEDIUM
"K51.90: Ulcerative colitis, unspecified (follow-up required in 1 week)",MEDIUM
"Acute emergency, rapid response due to Acute leukemia of unspecified cell type",HIGH
"Viral infection, unspecified",LOW
"J30.9 - Allergic rhinitis, unspecified",LOW
B18.2 Chronic viral,MEDIUM
chronic obstructive problem,MEDIUM
Patient presents with Acute respiratory distress syndrome,HIGH
"Uncomfortable episode, managing with meds due to Epilepsy, unspecified, not intractable",MEDIUM
Paroxysmal atrial fibrillation,MEDIUM
"atopic dermatitis, unspecified",MEDIUM
"Urticaria, unspecified - minor pain, prescribed rest",LOW
"Acute bronchitis, unspecified - uncomfortable episode, managing with meds",MEDIUM
Routine exam due to Low back pain,LOW
"C71.9: Malignant neoplasm of brain, unspecified (advanced stage, palliative care discussed)",HIGH
"Crohn disease, unspecified - chronic condition, ongoing treatment",MEDIUM
"A41.9 Sepsis, unspecified",HIGH
"Amyotrophic lateral sclerosis (ALS) - critical condition, ICU admission",HIGH
K30 - Functional dyspepsia,LOW
"J18.9: Pneumonia, unspecified organism (needs specialist referral)",MEDIUM
"migraine, unspecified, problem",MEDIUM
"Alzheimer disease, unspecified",HIGH
"Vitamin E deficiency - patient stable, outpatient treatment",LOW
"K50.90: Crohn disease, unspecified (uncomfortable episode, managing with meds)",MEDIUM
J96.00 Acute respiratory,HIGH
chronic viral hepatitis c,MEDIUM
"B07.9: Viral wart, unspecified (mild symptoms, no complications)",LOW
"Acute bronchitis, unspecified - recurring symptoms",MEDIUM
Atherosclerotic heart disease - follow-up required in 1 week,MEDIUM
"Minor pain, prescribed rest due to Panniculitis, unspecified",LOW
"No acute distress due to Constipation, unspecified",LOW
generalized anxiety problem,MEDIUM
Amyotrophic lateral sclerosis (ALS) - fatal prognosis risk,HIGH
psoriasis vulgaris,MEDIUM
"Malignant neoplasm of brain, unspecified - severe trauma protocol active",HIGH
Unspecified cirrhosis of liver - fatal prognosis risk,HIGH
"iron deficiency anemia, unspecified",LOW
"Malignant melanoma of skin, unspecified",HIGH
"G91.9: Hydrocephalus, unspecified (acute emergency, rapid response)",HIGH
Routine exam due to Low back pain,LOW
acute leukemia problem,HIGH
"Bipolar disorder, unspecified - stable but requires medication adjustment",MEDIUM
"C22.0: Liver cell carcinoma (life-threatening, immediate intervention)",HIGH
T14.0 - Superficial injury of unspecified body region,LOW
"Life-threatening, immediate intervention due to Schizophrenia, unspecified",HIGH
"N17.9: Acute kidney failure, unspecified (severe trauma protocol active)",HIGH
"No acute distress due to Dermatitis, unspecified",LOW
"acute kidney failure, unspecified",HIGH
History of Myalgia,LOW
"hydrocephalus, unspecified",HIGH
R10.9: Unspecified abdominal pain (slight discomfort reported),LOW
"Mild intermittent asthma, uncomplicated - uncomfortable episode, managing with meds",MEDIUM
type 2 problem,HIGH
peripheral vascular problem,MEDIUM
suspected obstructive sleep apnea,MEDIUM
"H10.9: Conjunctivitis, unspecified (slight discomfort reported)",LOW
"Confirmed case of Thyrotoxicosis, unspecified",MEDIUM
"M06.9: Rheumatoid arthritis, unspecified (follow-up required in 1 week)",MEDIUM
"J43.9: Emphysema, unspecified (severe presentation, urgent care needed)",HIGH
F51.01 - Primary insomnia,LOW
"K59.00: Constipation, unspecified (minor pain, prescribed rest)",LOW
"patient presents with migraine, unspecified, not intractable",MEDIUM
"K59.00: Constipation, unspecified (self-limiting condition)",LOW
"Schizophrenia, unspecified",HIGH
"K51.90: Ulcerative colitis, unspecified (uncomfortable episode, managing with meds)",MEDIUM
Chronic obstructive pulmonary disease with exacerbation,MEDIUM
"Stable but requires medication adjustment due to Migraine, unspecified, not intractable",MEDIUM
"Life-threatening, immediate intervention due to Acute respiratory failure, unspecified",HIGH
infectious gastroenteritis and colitis,MEDIUM
"J03.90: Acute tonsillitis, unspecified (routine exam)",LOW
"S06.9: Intracranial injury, unspecified (severe presentation, urgent care needed)",HIGH
"History of Bipolar disorder, unspecified",MEDIUM
"Dysuria - minor pain, prescribed rest",LOW
"J03.90 - Acute tonsillitis, unspecified",LOW
"H66.90: Otitis media, unspecified (patient stable, outpatient treatment)",LOW
"T78.40 - Allergy, unspecified",LOW
Malignant neoplasm of unspecified site of breast - immediate surgery required,HIGH
"Acute emergency, rapid response due to Hydrocephalus, unspecified",HIGH
"Nervousness - minor condition, follow-up in 2 weeks",LOW
"B20: Human immunodeficiency virus (HIV) disease (advanced stage, palliative care discussed)",HIGH
"K29.70: Gastritis, unspecified (routine exam)",LOW
"J03.90 - Acute tonsillitis, unspecified",LOW
"S90.0: Contusion of ankle (mild symptoms, no complications)",LOW
"K02.9 Dental caries,",LOW
pulmonary embolism problem,HIGH
"Critical condition, icu admission due to Malignant neoplasm of prostate",HIGH
"D64.9 - Anemia, unspecified",MEDIUM
Immediate surgery required due to Malignant neoplasm of unspecified part of bronchus or lung,HIGH
"Moderate symptoms, requires monitoring due to Post-traumatic stress disorder, unspecified",MEDIUM
"Stable but requires medication adjustment due to Migraine, unspecified, not intractable",MEDIUM
"Recurring symptoms due to Crohn disease, unspecified",MEDIUM
"assessment: sepsis, unspecified organism",HIGH
J96.00 Acute respiratory,HIGH
"I50.9: Heart failure, unspecified (fatal prognosis risk)",HIGH
"Flare-up event due to Acute bronchitis, unspecified",MEDIUM
Confirmed case of Functional dyspepsia,LOW
"J06.9: Acute upper respiratory infection, unspecified (routine exam)",LOW
"migraine, unspecified, problem",MEDIUM
T14.0 Superficial injury,LOW
"Self-limiting condition due to Iron deficiency anemia, unspecified",LOW
"R10.9: Unspecified abdominal pain (minor pain, prescribed rest)",LOW
Type 2 diabetes mellitus without complications,MEDIUM
Fatal prognosis risk due to Traumatic shock,HIGH
superficial injury problem,LOW
"Advanced stage, palliative care discussed due to Emphysema, unspecified",HIGH
I26.99 Pulmonary embolism,HIGH
"Liver cell carcinoma - life-threatening, immediate intervention",HIGH
"H66.90 - Otitis media, unspecified",LOW
Generalized anxiety disorder - follow-up required in 1 week,MEDIUM
"H61.20: Impacted cerumen, unspecified ear (slight discomfort reported)",LOW
"Mild symptoms, no complications due to Viral wart, unspecified",LOW
Contusion of ankle - routine exam,LOW
"Pneumonia, unspecified organism",MEDIUM
assessment: allergic rhinitis due to pollen,LOW
Chronic obstructive pulmonary disease with exacerbation - follow-up required in 1 week,MEDIUM
"G91.9: Hydrocephalus, unspecified (severe presentation, urgent care needed)",HIGH
"Acute respiratory failure, unspecified - fatal prognosis risk",HIGH
"Viral infection, unspecified - self-limiting condition",LOW
"Multiple sclerosis - critical condition, ICU admission",HIGH
"Suspected Acute upper respiratory infection, unspecified",LOW
"G40.909 Epilepsy, unspecified,",MEDIUM
"Urinary tract infection, site not specified - slight discomfort reported",LOW
"suspected schizophrenia, unspecified",HIGH
"F43.10: Post-traumatic stress disorder, unspecified (chronic condition, ongoing treatment)",MEDIUM
M79.1 - Myalgia,LOW
"Suspected Malignant neoplasm of colon, unspecified",HIGH
"Hypothyroidism, unspecified - flare-up event",MEDIUM
"Schizophrenia, unspecified - severe trauma protocol active",HIGH
"Recurring symptoms due to Epilepsy, unspecified, not intractable",MEDIUM
I48.0: Paroxysmal atrial fibrillation (follow-up required in 1 week),MEDIUM
"Gastritis, unspecified - routine exam",LOW
Type 1 diabetes with ketoacidosis - severe trauma protocol active,HIGH
"Moderate symptoms, requires monitoring due to Migraine, unspecified, not intractable",MEDIUM
"Advanced stage, palliative care discussed due to Acute and subacute hepatic failure",HIGH
"J43.9 - Emphysema, unspecified",HIGH
"suspected dyslipidemia, unspecified",MEDIUM
"Allergy, unspecified - no acute distress",LOW
"Slight discomfort reported due to Urticaria, unspecified",LOW
G35 - Multiple sclerosis,HIGH
"Follow-up required in 1 week due to Hypothyroidism, unspecified",MEDIUM
"Follow-up required in 1 week due to Spondylosis with radiculopathy, cervical",MEDIUM
C22.0: Liver cell carcinoma (severe trauma protocol active),HIGH
Confirmed case of Acute and subacute hepatic failure,HIGH
dysuria,LOW
"N17.9: Acute kidney failure, unspecified (fatal prognosis risk)",HIGH
ingrowing nail,LOW
C95.00 Acute leukemia,HIGH
"Self-limiting condition due to Conjunctivitis, unspecified",LOW
acute nasopharyngitis problem,LOW
"Severe presentation, urgent care needed due to Bacterial infection, unspecified (severe)",HIGH
"Cerebral infarction, unspecified (stroke) - critical condition, ICU admission",HIGH
confirmed case of calculus of gallbladder without obstruction,MEDIUM
"Anemia, unspecified",MEDIUM
"malignant melanoma of skin, unspecified",HIGH
"patient presents with allergy, unspecified",LOW
"patient presents with gastritis, unspecified",LOW
"I71.3: Abdominal aortic aneurysm, ruptured (fatal prognosis risk)",HIGH
"Unspecified cirrhosis of liver - severe presentation, urgent care needed",HIGH
"Thrombocytopenia, unspecified - moderate symptoms, requires monitoring",MEDIUM
"confirmed case of ulcerative colitis, unspecified",MEDIUM
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
Traumatic shock - immediate surgery required,HIGH
Suspected Chronic viral hepatitis C,MEDIUM
T79.4: Traumatic shock (fatal prognosis risk),HIGH
parkinson disease,MEDIUM
"A41.9 Sepsis, unspecified",HIGH
"M79.1: Myalgia (minor condition, follow-up in 2 weeks)",LOW
"Acute myocardial infarction, unspecified",HIGH
"Chronic condition, ongoing treatment due to Dyslipidemia, unspecified",MEDIUM
I10: Essential (primary) hypertension (recurring symptoms),MEDIUM
"F20.9: Schizophrenia, unspecified (severe trauma protocol active)",HIGH
"Mild symptoms, no complications due to Viral infection, unspecified",LOW
type 2 diabetes mellitus without complications,MEDIUM
Follow-up required in 1 week due to Type 2 diabetes mellitus without complications,MEDIUM
"E10.10: Type 1 diabetes with ketoacidosis (acute emergency, rapid response)",HIGH
"Chronic condition, ongoing treatment due to Parkinson disease",MEDIUM
"I21.9 - Acute myocardial infarction, unspecified",HIGH
"Assessment: Atopic dermatitis, unspecified",MEDIUM
"Moderate symptoms, requires monitoring due to Ulcerative colitis, unspecified",MEDIUM
"History of Alzheimer disease, unspecified",HIGH
"Patient stable, outpatient treatment due to Acne vulgaris",LOW
acute and problem,HIGH
"Severe presentation, urgent care needed due to Unspecified cirrhosis of liver",HIGH
"History of Panniculitis, unspecified",LOW
"Routine exam due to Viral wart, unspecified",LOW
Severe trauma protocol active due to Amyotrophic lateral sclerosis (ALS),HIGH
Needs specialist referral due to Psoriasis vulgaris,MEDIUM
"Peripheral vascular disease, unspecified",MEDIUM
"Assessment: Anemia, unspecified",MEDIUM
"Dental caries, unspecified - routine exam",LOW
Slight discomfort reported due to Chronic gingivitis,LOW
"J03.90: Acute tonsillitis, unspecified (no acute distress)",LOW
"N18.6: End stage renal disease (critical condition, ICU admission)",HIGH
"A09: Infectious gastroenteritis and colitis (chronic condition, ongoing treatment)",MEDIUM
"N18.3: Chronic kidney disease, stage 3 (follow-up required in 1 week)",MEDIUM
M81.0: Age-related osteoporosis without fracture (recurring symptoms),MEDIUM
"Post-traumatic stress disorder, unspecified - moderate symptoms, requires monitoring",MEDIUM
"B34.9: Viral infection, unspecified (self-limiting condition)",LOW
"C71.9: Malignant neoplasm of brain, unspecified (immediate surgery required)",HIGH
type 2 diabetes mellitus without complications,MEDIUM
"Bipolar disorder, unspecified - flare-up event",MEDIUM
"Epilepsy, unspecified, not intractable - flare-up event",MEDIUM
Vitamin E deficiency,LOW
patient presents with nervousness,LOW
allergic rhinitis due to pollen,LOW
"Minor pain, prescribed rest due to Acute nasopharyngitis (common cold)",LOW
"J43.9: Emphysema, unspecified (life-threatening, immediate intervention)",HIGH
"Fatal prognosis risk due to Cerebral infarction, unspecified (stroke)",HIGH
"assessment: acute tonsillitis, unspecified",LOW
suspected primary insomnia,LOW
Flare-up event due to Parkinson disease,MEDIUM
"J45.20: Mild intermittent asthma, uncomplicated (needs specialist referral)",MEDIUM
"Heart failure, unspecified - life-threatening, immediate intervention",HIGH
"Routine exam due to Iron deficiency anemia, unspecified",LOW
"Severe presentation, urgent care needed due to Type 2 diabetes with hyperglycemia",HIGH
"suspected acute pharyngitis, unspecified",LOW
History of Functional dyspepsia,LOW
"G35: Multiple sclerosis (critical condition, ICU admission)",HIGH
K57.30: Diverticulosis of large intestine (recurring symptoms),MEDIUM
"Hypothyroidism, unspecified - flare-up event",MEDIUM
No acute distress due to Myalgia,LOW
"G40.909: Epilepsy, unspecified, not intractable (follow-up required in 1 week)",MEDIUM
"N17.9 - Acute kidney failure, unspecified",HIGH
"I26.99: Pulmonary embolism without acute cor pulmonale (advanced stage, palliative care discussed)",HIGH
"Immediate surgery required due to Malignant neoplasm of brain, unspecified",HIGH
amyotrophic lateral problem,HIGH
"confirmed case of allergy, unspecified",LOW
"Needs specialist referral due to Anemia, unspecified",MEDIUM
"Parkinson disease - moderate symptoms, requires monitoring",MEDIUM
"Rheumatoid arthritis, unspecified - moderate symptoms, requires monitoring",MEDIUM
"Acute emergency, rapid response due to Cerebral infarction, unspecified (stroke)",HIGH
"Acute tonsillitis, unspecified - self-limiting condition",LOW
"B18.2: Chronic viral hepatitis C (chronic condition, ongoing treatment)",MEDIUM
"M06.9: Rheumatoid arthritis, unspecified (needs specialist referral)",MEDIUM
"patient presents with migraine, unspecified, not intractable",MEDIUM
C34.90 Malignant neoplasm,HIGH
G20: Parkinson disease (recurring symptoms),MEDIUM
"D69.6: Thrombocytopenia, unspecified (uncomfortable episode, managing with meds)",MEDIUM
"J18.9 Pneumonia, unspecified",MEDIUM
"Myalgia - minor condition, follow-up in 2 weeks",LOW
"Spondylosis with radiculopathy, cervical - stable but requires medication adjustment",MEDIUM
"L50.9: Urticaria, unspecified (slight discomfort reported)",LOW
"Recurring symptoms due to Post-traumatic stress disorder, unspecified",MEDIUM
"Heart failure, unspecified - severe trauma protocol active",HIGH
"Iron deficiency anemia, unspecified - minor condition, follow-up in 2 weeks",LOW
Slight discomfort reported due to Nervousness,LOW
"Malignant neoplasm of prostate - severe presentation, urgent care needed",HIGH
"F43.10 - Post-traumatic stress disorder, unspecified",MEDIUM
"Advanced stage, palliative care discussed due to Bacterial infection, unspecified (severe)",HIGH
History of Disseminated intravascular coagulation,HIGH
Benign prostatic hyperplasia without obstruction - stable but requires medication adjustment,MEDIUM
history of chronic viral hepatitis c,MEDIUM
"emphysema, unspecified",HIGH
"thrombocytopenia, unspecified",MEDIUM
"Epilepsy, unspecified, not intractable - flare-up event",MEDIUM
"D64.9 - Anemia, unspecified",MEDIUM
"Mild symptoms, no complications due to Acute upper respiratory infection, unspecified",LOW
"J45.20 - Mild intermittent asthma, uncomplicated",MEDIUM
"I21.9: Acute myocardial infarction, unspecified (immediate surgery required)",HIGH
"Follow-up required in 1 week due to Dyslipidemia, unspecified",MEDIUM
"Bipolar disorder, unspecified - moderate symptoms, requires monitoring",MEDIUM
"Suspected Bipolar disorder, unspecified",MEDIUM
"Type 1 diabetes with ketoacidosis - severe presentation, urgent care needed",HIGH
"Severe trauma protocol active due to Acute respiratory failure, unspecified",HIGH
Self-limiting condition due to Dysuria,LOW
"Self-limiting condition due to Iron deficiency anemia, unspecified",LOW
"chronic kidney disease, stage 3",MEDIUM
"Rheumatoid arthritis, unspecified - recurring symptoms",MEDIUM
"M47.812: Spondylosis with radiculopathy, cervical (uncomfortable episode, managing with meds)",MEDIUM
I25.10 - Atherosclerotic heart disease,MEDIUM
"S06.9: Intracranial injury, unspecified (severe presentation, urgent care needed)",HIGH
Contusion of finger - self-limiting condition,LOW
"spondylosis with radiculopathy, cervical",MEDIUM
"Thyrotoxicosis, unspecified",MEDIUM
Allergic rhinitis due to pollen - no acute distress,LOW
"Nervousness - minor pain, prescribed rest",LOW
"D50.9: Iron deficiency anemia, unspecified (slight discomfort reported)",LOW
"Epilepsy, unspecified, not intractable - needs specialist referral",MEDIUM
"Diverticulosis of large intestine - chronic condition, ongoing treatment",MEDIUM
"K21.0: Gastro-esophageal reflux with esophagitis (chronic condition, ongoing treatment)",MEDIUM
"J30.9: Allergic rhinitis, unspecified (slight discomfort reported)",LOW
Parkinson disease,MEDIUM
"dental caries, unspecified",LOW
History of Psoriasis vulgaris,MEDIUM
"Otitis media, unspecified - minor pain, prescribed rest",LOW
"Myalgia - minor pain, prescribed rest",LOW
"acute bronchitis, unspecified",MEDIUM
"Patient presents with Panniculitis, unspecified",LOW
K80.20: Calculus of gallbladder without obstruction (needs specialist referral),MEDIUM
end stage renal disease,HIGH
history of vitamin e deficiency,LOW
Age-related osteoporosis without fracture,MEDIUM
R45.0: Nervousness (self-limiting condition),LOW
history of malignant neoplasm of unspecified site of breast,HIGH
J44.1: Chronic obstructive pulmonary disease with exacerbation (recurring symptoms),MEDIUM
B18.2: Chronic viral hepatitis C (stable but requires medication adjustment),MEDIUM
Follow-up required in 1 week due to Gastro-esophageal reflux with esophagitis,MEDIUM
"Conjunctivitis, unspecified",LOW
"J45.20: Mild intermittent asthma, uncomplicated (needs specialist referral)",MEDIUM
"T14.0: Superficial injury of unspecified body region (mild symptoms, no complications)",LOW
Parkinson disease - follow-up required in 1 week,MEDIUM
"intracranial injury, unspecified",HIGH
"J43.9: Emphysema, unspecified (life-threatening, immediate intervention)",HIGH
"Acute bronchitis, unspecified",MEDIUM
Slight discomfort reported due to Low back pain,LOW
"Schizophrenia, unspecified",HIGH
suspected diverticulosis of large intestine,MEDIUM
C34.90 Malignant neoplasm,HIGH
K72.00 Acute and,HIGH
"Schizophrenia, unspecified - life-threatening, immediate intervention",HIGH
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
"Uncomfortable episode, managing with meds due to Epilepsy, unspecified, not intractable",MEDIUM
"I63.9 - Cerebral infarction, unspecified (stroke)",HIGH
"Recurring symptoms due to Acute bronchitis, unspecified",MEDIUM
"Allergic rhinitis, unspecified - mild symptoms, no complications",LOW
"Urticaria, unspecified - self-limiting condition",LOW
"Uncomfortable episode, managing with meds due to Major depressive disorder, single episode, moderate",MEDIUM
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
suspected primary insomnia,LOW
"B20: Human immunodeficiency virus (HIV) disease (life-threatening, immediate intervention)",HIGH
K21.0 Gastro-esophageal reflux,MEDIUM
"E05.90 - Thyrotoxicosis, unspecified",MEDIUM
"peripheral vascular disease, unspecified",MEDIUM
K57.30 Diverticulosis of,MEDIUM
"Immediate surgery required due to Cerebral infarction, unspecified (stroke)",HIGH
"cerebral infarction, unspecified (stroke)",HIGH
"A41.9: Sepsis, unspecified organism (severe presentation, urgent care needed)",HIGH
"J00: Acute nasopharyngitis (common cold) (mild symptoms, no complications)",LOW
"Minor pain, prescribed rest due to Acute pharyngitis, unspecified",LOW
"M47.812: Spondylosis with radiculopathy, cervical (stable but requires medication adjustment)",MEDIUM
malignant neoplasm problem,HIGH
Immediate surgery required due to Malignant neoplasm of unspecified part of bronchus or lung,HIGH
acute myocardial problem,HIGH
"Patient presents with Rheumatoid arthritis, unspecified",MEDIUM
"assessment: crohn disease, unspecified",MEDIUM
"Acute emergency, rapid response due to Malignant neoplasm of unspecified site of breast",HIGH
"Acute kidney failure, unspecified - life-threatening, immediate intervention",HIGH
acute and problem,HIGH
N18.6: End stage renal disease (fatal prognosis risk),HIGH
superficial injury problem,LOW
"K21.0: Gastro-esophageal reflux with esophagitis (uncomfortable episode, managing with meds)",MEDIUM
benign prostatic hyperplasia without obstruction,MEDIUM
"B34.9 Viral infection,",LOW
"Critical condition, icu admission due to Acute leukemia of unspecified cell type",HIGH
"Intracranial injury, unspecified - severe presentation, urgent care needed",HIGH
"A09: Infectious gastroenteritis and colitis (chronic condition, ongoing treatment)",MEDIUM
generalized anxiety disorder,MEDIUM
"L40.0: Psoriasis vulgaris (uncomfortable episode, managing with meds)",MEDIUM
"R45.0: Nervousness (mild symptoms, no complications)",LOW
"K50.90 Crohn disease,",MEDIUM
I10: Essential (primary) hypertension (needs specialist referral),MEDIUM
C34.90 Malignant neoplasm,HIGH
"Acute upper respiratory infection, unspecified - no acute distress",LOW
"Slight discomfort reported due to Conjunctivitis, unspecified",LOW
"E03.9: Hypothyroidism, unspecified (moderate symptoms, requires monitoring)",MEDIUM
acne vulgaris,LOW
"M06.9: Rheumatoid arthritis, unspecified (uncomfortable episode, managing with meds)",MEDIUM
J30.1 - Allergic rhinitis due to pollen,LOW
"Minor condition, follow-up in 2 weeks due to Functional dyspepsia",LOW
"B20: Human immunodeficiency virus (HIV) disease (life-threatening, immediate intervention)",HIGH
T14.0: Superficial injury of unspecified body region (routine exam),LOW
I10 - Essential (primary) hypertension,MEDIUM
"S90.0: Contusion of ankle (mild symptoms, no complications)",LOW
"M54.5: Low back pain (minor condition, follow-up in 2 weeks)",LOW
Immediate surgery required due to End stage renal disease,HIGH
"G40.909: Epilepsy, unspecified, not intractable (uncomfortable episode, managing with meds)",MEDIUM
"Moderate symptoms, requires monitoring due to Post-traumatic stress disorder, unspecified",MEDIUM
Follow-up required in 1 week due to Benign prostatic hyperplasia without obstruction,MEDIUM
S60.0 Contusion of,LOW
E11.65 - Type 2 diabetes with hyperglycemia,HIGH
"K59.00: Constipation, unspecified (mild symptoms, no complications)",LOW
"Generalized anxiety disorder - uncomfortable episode, managing with meds",MEDIUM
"constipation, unspecified",LOW
G20: Parkinson disease (stable but requires medication adjustment),MEDIUM
malignant neoplasm problem,HIGH
"Psoriasis vulgaris - uncomfortable episode, managing with meds",MEDIUM
"Acute and subacute hepatic failure - life-threatening, immediate intervention",HIGH
"otitis media, unspecified",LOW
G47.33 Obstructive sleep,MEDIUM
"Moderate symptoms, requires monitoring due to Peripheral vascular disease, unspecified",MEDIUM
"Recurring symptoms due to Dyslipidemia, unspecified",MEDIUM
E11.65 - Type 2 diabetes with hyperglycemia,HIGH
traumatic shock,HIGH
"Acute kidney failure, unspecified - fatal prognosis risk",HIGH
"Assessment: Acute respiratory failure, unspecified",HIGH
patient presents with essential (primary) hypertension,MEDIUM
"Immediate surgery required due to Cardiac arrest, cause unspecified",HIGH
Stable but requires medication adjustment due to Generalized anxiety disorder,MEDIUM
Infectious gastroenteritis and colitis,MEDIUM
"L30.9: Dermatitis, unspecified (minor pain, prescribed rest)",LOW
Self-limiting condition due to Lateral epicondylitis,LOW
M77.10: Lateral epicondylitis (slight discomfort reported),LOW
"Pulmonary embolism without acute cor pulmonale - advanced stage, palliative care discussed",HIGH
"Lateral epicondylitis - patient stable, outpatient treatment",LOW
"anemia, unspecified",MEDIUM
"J00: Acute nasopharyngitis (common cold) (minor pain, prescribed rest)",LOW
Chronic viral hepatitis C - needs specialist referral,MEDIUM
"J30.9: Allergic rhinitis, unspecified (self-limiting condition)",LOW
"K29.70 - Gastritis, unspecified",LOW
Functional dyspepsia,LOW
"F31.9: Bipolar disorder, unspecified (flare-up event)",MEDIUM
"C25.9: Malignant neoplasm of pancreas, unspecified (severe presentation, urgent care needed)",HIGH
"acute pharyngitis, unspecified",LOW
Stable but requires medication adjustment due to Diverticulosis of large intestine,MEDIUM
patient presents with psoriasis vulgaris,MEDIUM
Malignant neoplasm of unspecified part of bronchus or lung - severe trauma protocol active,HIGH
"I71.3: Abdominal aortic aneurysm, ruptured (critical condition, ICU admission)",HIGH
"I73.9: Peripheral vascular disease, unspecified (moderate symptoms, requires monitoring)",MEDIUM
"Emphysema, unspecified - critical condition, ICU admission",HIGH
"Routine exam due to Viral wart, unspecified",LOW
Routine exam due to Primary insomnia,LOW
"C18.9 - Malignant neoplasm of colon, unspecified",HIGH
"J45.20: Mild intermittent asthma, uncomplicated (moderate symptoms, requires monitoring)",MEDIUM
C50.919 - Malignant neoplasm of unspecified site of breast,HIGH
Recurring symptoms due to Psoriasis vulgaris,MEDIUM
Nervousness - self-limiting condition,LOW
"Patient presents with Malignant melanoma of skin, unspecified",HIGH
"Type 2 diabetes with hyperglycemia - acute emergency, rapid response",HIGH
"Suspected Atopic dermatitis, unspecified",MEDIUM
liver cell problem,HIGH
Suspected Traumatic shock,HIGH
"E11.65: Type 2 diabetes with hyperglycemia (life-threatening, immediate intervention)",HIGH
Myalgia,LOW
"L20.9: Atopic dermatitis, unspecified (stable but requires medication adjustment)",MEDIUM
"Malignant neoplasm of colon, unspecified",HIGH
"Minor condition, follow-up in 2 weeks due to Otitis media, unspecified",LOW
Diverticulosis of large intestine - flare-up event,MEDIUM
Acute and subacute hepatic failure - fatal prognosis risk,HIGH
"Ingrowing nail - mild symptoms, no complications",LOW
Immediate surgery required due to Type 1 diabetes with ketoacidosis,HIGH
"Iron deficiency anemia, unspecified - patient stable, outpatient treatment",LOW
Calculus of gallbladder without obstruction,MEDIUM
"K29.70: Gastritis, unspecified (no acute distress)",LOW
L40.0: Psoriasis vulgaris (stable but requires medication adjustment),MEDIUM
"panniculitis, unspecified",LOW
Routine exam due to Pain in unspecified joint,LOW
Recurring symptoms due to Atherosclerotic heart disease,MEDIUM
M79.1 - Myalgia,LOW
F41.1 Generalized anxiety,MEDIUM
Gastro-esophageal reflux with esophagitis - follow-up required in 1 week,MEDIUM
Pain in unspecified joint,LOW
suspected contusion of finger,LOW
"J45.20: Mild intermittent asthma, uncomplicated (stable but requires medication adjustment)",MEDIUM
"Fatal prognosis risk due to Acute respiratory failure, unspecified",HIGH
"M06.9: Rheumatoid arthritis, unspecified (follow-up required in 1 week)",MEDIUM
"L40.0: Psoriasis vulgaris (uncomfortable episode, managing with meds)",MEDIUM
acute nasopharyngitis problem,LOW
